,EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],GALEX_FUV,GALEX_NUV,phase
104,338,9.69,0.7294474997431752,0.7293711371064537,3.7820396311485074,4.687614620140377,-0.31597307346769005,-4.0,-4.182184,26.472553,19.519264,0.0
105,339,9.69,0.7380595150528493,0.7379786324053578,3.785497016427392,4.679665828245502,-0.2893678630573071,-4.0,-4.190821,26.242577,19.415842,0.0
106,340,9.69,0.7466503443500768,0.746564676498121,3.788960197844317,4.67157008118248,-0.26260450381565204,-4.0,-4.213614,26.017374,19.313787,0.0
107,341,9.69,0.7551272307601821,0.7550365625250418,3.7923921039135746,4.663416017946794,-0.23597190348513697,-4.0,-4.223188,25.799,19.214157,0.0
108,342,9.69,0.7636017422301461,0.7635057728087041,3.7958444548631647,4.65508368411676,-0.20908071428384828,-4.0,-4.247566,25.583811,19.115417,0.0
109,343,9.69,0.7719393907947771,0.7718378916842129,3.799267220583424,4.646752706657762,-0.18238604908273232,-4.0,-4.264136,25.375532,19.01927,0.0
110,344,9.69,0.7802922623589656,0.780184872623095,3.802709542494632,4.63818105665559,-0.1553641043715408,-4.0,-4.274033,25.171021,18.924,0.0
111,345,9.69,0.7885503605767563,0.7884367882014908,3.806133187495482,4.629502837391057,-0.12836355488643095,-4.0,-4.268265,24.972055,18.830601,0.0
112,346,9.69,0.796712412786675,0.7965923532515315,3.8095353868346913,4.620721834351729,-0.10139997803312475,-4.0,-4.294187,24.778086,18.73893,0.0
113,347,9.69,0.8048236216619342,0.8046967122634627,3.812940241691373,4.611763594073596,-0.07427720042597197,-4.0,-4.330302,24.587074,18.648146,0.0
114,348,9.69,0.8128610627604647,0.812726938953365,3.816318996511326,4.602575653652721,-0.047070632464605605,-4.0,-4.334511,24.400536,18.558727,0.0
115,349,9.69,0.8207998246920062,0.820658127094907,3.8196787092771376,4.593215325525011,-0.019823318077138267,-4.0,-4.413067,24.218666,18.470821,0.0
116,350,9.69,0.8286461609628268,0.8284964926640909,3.823059644453749,4.583813055053852,0.007498845797261858,-4.0,-4.393645,24.039644,18.383976,0.0
117,351,9.69,0.8363843712778916,0.8362263437229963,3.826439299766807,4.574309591431337,0.03485630050580162,-4.0,-4.371982,23.863804,18.29829,0.0
118,352,9.69,0.8440179596292523,0.843851159157303,3.8297665498368985,4.564477262509927,0.062274171680137914,-4.0,-4.434464,23.692091,18.213848,0.0
119,353,9.69,0.8515265481853124,0.8513505692719734,3.833144407836672,4.554765640125964,0.08970351730762435,-4.0,-4.397652,23.522062,18.130341,0.0
120,354,9.69,0.855151384227815,0.8549708032772675,3.8347593463768073,4.549807159990676,0.10315228745019228,-4.0,-4.457188,23.441072,18.090063,0.0
121,355,9.69,0.8587186622792019,0.8585334264309945,3.836367658604991,4.544909306196361,0.11648163669935684,-4.0,-4.471511,23.361298,18.050383,0.0
122,356,9.69,0.8622521897975854,0.8620621997466581,3.837986564633269,4.54002979729127,0.12981604869109375,-4.0,-4.470406,23.281898,18.010906,0.0
123,357,9.69,0.8657475516007539,0.8655526967238771,3.8395975408130094,4.53510552596928,0.14314206228983406,-4.0,-4.508696,23.203354,17.971735,0.0
124,358,9.69,0.8692001751520013,0.8690003696555539,3.8412150049091487,4.530217947760562,0.15643333548022756,-4.0,-4.459153,23.125307,17.932852,0.0
125,359,9.69,0.8726076005343986,0.8724027623273137,3.8428331858259575,4.525355876228751,0.16967659429927306,-4.0,-4.461993,23.04789,17.894302,0.0
126,360,9.69,0.8759813112964109,0.875771323226067,3.844414147062405,4.520312434364118,0.18293339592883007,-4.0,-4.498253,22.971867,17.856071,0.0
127,361,9.69,0.8793138479962197,0.879098605728165,3.846005178616252,4.515296366936548,0.19617997365713735,-4.0,-4.525488,22.896057,17.818012,0.0
128,362,9.69,0.8825983457067546,0.8823777693443454,3.847593192035763,4.510302136027041,0.2093656776229412,-4.0,-4.546341,22.821049,17.780304,0.0
129,363,9.69,0.8858392821897895,0.885613278438039,3.849177249410948,4.505297086983818,0.22252191356979928,-4.0,-4.554853,22.746784,17.742886,0.0
130,364,9.69,0.8890374184628762,0.88880587780765,3.8507639392899047,4.500289707015924,0.23566696793530328,-4.0,-4.584284,22.673031,17.705696,0.0
131,365,9.69,0.8921906642253905,0.8919534908022351,3.8523408223176574,4.49525047499383,0.2487794405716547,-4.0,-4.592685,22.600775,17.669176,0.0
132,366,9.69,0.8952976303684147,0.8950547329403219,3.8539163103339513,4.4902165508620495,0.26185504038625745,-4.0,-4.569548,22.529106,17.632971,0.0
133,367,9.69,0.8983589602156566,0.8981102440397224,3.85548831123085,4.485174995021856,0.27489869736822947,-4.0,-4.568328,22.458,17.597061,0.0
134,368,9.69,0.9013751750951127,0.9011205476837024,3.8570496677759145,4.480102027696257,0.28790585763512566,-4.0,-4.535263,22.387625,17.561485,0.0
135,369,9.69,0.9043433073722966,0.9040826707533075,3.8586161183727863,4.475057135179704,0.3008783215513484,-4.0,-4.572253,22.317606,17.526203,0.0
136,370,9.69,0.9072678013661283,0.9070010477941373,3.8601700474997696,4.469950443254413,0.3138379878974312,-4.0,-4.586228,22.248301,17.491228,0.0
137,371,9.69,0.9101440794524558,0.9098711193698685,3.8617221939029234,4.464851513501291,0.32675569227029183,-4.0,-4.549661,22.179762,17.456663,0.0
138,372,9.69,0.9129736867297339,0.9126944280856872,3.863267518708037,4.4597369635491,0.3396355273995506,-4.0,-4.586967,22.112297,17.422562,0.0
139,373,9.69,0.9157560779534002,0.915470430249466,3.8648075445959265,4.454615355155333,0.35247471710709566,-4.0,-4.611074,22.045691,17.388855,0.0
140,374,9.69,0.91849094177825,0.9181988146495363,3.8663419583049574,4.449484991712088,0.3652735304067316,-4.0,-4.618324,21.979782,17.355478,0.0
141,375,9.69,0.9211804762647328,0.9208817705352969,3.86785960388158,4.444286544689263,0.37804790034508023,-4.0,-4.65382,21.914579,17.322353,0.0
142,376,9.69,0.9238181079328477,0.9235127451740329,3.8693854891433377,4.439152180078841,0.39076201534638977,-4.0,-4.60507,21.849468,17.289444,0.0
143,377,9.69,0.9264090635066957,0.926096949776026,3.870899741357966,4.433979479571692,0.4034417274298553,-4.0,-4.6131,21.78463,17.256678,0.0
